country;country isocode;year;DD regime;DD category;;Monarchy;Commonwealth;Monarch name;Monarch accession;Monarch birthyear;"Female monarch (0: No; 1: Yes)";Democracy;Presidential;President name;President accesion;President birthyear;Interim phase (more than 2 Presidents/year=1);"Female president (0: No; 1: Yes)";Colony;Colony of;Colony administrated by;Communist;Regime change lag;;;spatial democracy;;countrycode;;No. of chambers in parliament;proportional voting;Election system;No. of members in lower house;No. of members in upper house;No. of members in third house;New constitution;fullsuffrage;Suffrage restriction;electoral;;spatial electoral;;alternation;multiparty;free and fair election;;parliamentary election year;election month, year;postponed election;
Afghanistan;AFG;1950;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;;171;;;0;0;Male vote only;2;;1,5;;0;1;0;;0;;0;
Afghanistan;AFG;1951;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;;171;;;0;0;Male vote only;2;;1,5;;0;1;0;;0;;0;
Afghanistan;AFG;1952;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;0;;171;;;0;0;Male vote only;2;;1,75;;0;1;0;;1;February 1952;0;
Afghanistan;AFG;1953;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;0;;171;;;0;0;Male vote only;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1954;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;;;;;;0;0;Male vote only;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1955;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;;;;;;0;0;Male vote only;2;;1,75;;0;1;0;;1;?;0;
Afghanistan;AFG;1956;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;;;;;;0;0;Male vote only;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1957;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;;;;;;0;0;Male vote only;2;;1,75;;0;1;0;;0;;0;
Afghanistan;AFG;1958;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0,25;;1;;2;;;;;;0;0;Male vote only;2;;1,75;;0;1;0;;1;?;0;
Afghanistan;AFG;1959;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;0;0;Male vote only;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1960;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;0;0;Male vote only;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1961;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;0;0;Male vote only;2;;1;;0;1;0;;1;?;0;
Afghanistan;AFG;1962;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;0;0;Male vote only;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1963;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;0;0;Male vote only;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1964;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;1;1;;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1965;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;;;;;;0;1;;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1966;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1;;0;1;0;;1;August-September 1965;0;
Afghanistan;AFG;1967;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1;;0;1;0;;0;;0;
Afghanistan;AFG;1968;5;Royal dictatorship;;1;0;Mohammed Zahir Shah;1933;1914;0;0;0;;;;;;0;;;0;0;;;0;;1;;2;0;Single-member plurality;216;84;;0;1;;2;;1;;0;1;0;;0;;0;
