country;country isocode;year;DD regime;DD category;Democracy;Presidential;countrycode;No. of chambers in parliament;proportional voting;Election system;No. of members in lower house;No. of members in upper house;No. of members in third house;New constitution;fullsuffrage;Suffrage restriction;electoral;Details;;;Self-governing
Afghanistan;AFG;1950;5;Royal dictatorship;0;0;1;2;0;;171;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1951;5;Royal dictatorship;0;0;1;2;0;;171;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1952;5;Royal dictatorship;0;0;1;2;0;;171;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1953;5;Royal dictatorship;0;0;1;2;0;;171;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1954;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1955;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1956;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1957;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1958;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1959;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1960;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1961;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1962;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1963;5;Royal dictatorship;0;0;1;2;;;;;;0;0;Male vote only;2;;;;
Afghanistan;AFG;1964;5;Royal dictatorship;0;0;1;2;;;;;;1;1;;2;;;;
Afghanistan;AFG;1965;5;Royal dictatorship;0;0;1;2;;;;;;0;1;;2;;;;
Afghanistan;AFG;1966;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1967;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1968;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1969;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1970;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1971;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1972;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;0;1;;2;;;;
Afghanistan;AFG;1973;5;Royal dictatorship;0;0;1;2;0;Single-member plurality;216;84;;1;1;;2;;;;
Afghanistan;AFG;1974;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1975;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1976;3;Civilian dictatorship;0;1;1;;;;;;;0;1;;0;;;;
Afghanistan;AFG;1977;3;Civilian dictatorship;0;1;1;;;;;;;1;1;;0;;;;
Afghanistan;AFG;1978;3;Civilian dictatorship;0;1;1;1;;;;;;1;1;;0;;;;
Afghanistan;AFG;1979;3;Civilian dictatorship;0;1;1;1;;;;;;1;1;;0;;;;
Afghanistan;AFG;1980;3;Civilian dictatorship;0;1;1;1;;;;;;1;1;;0;;;;
Afghanistan;AFG;1981;3;Civilian dictatorship;0;1;1;1;;;;;;0;1;;0;;;;
Afghanistan;AFG;1982;3;Civilian dictatorship;0;1;1;1;;;;;;0;1;;0;;;;
Afghanistan;AFG;1983;3;Civilian dictatorship;0;1;1;1;;;;;;0;1;;0;;;;
Afghanistan;AFG;1984;3;Civilian dictatorship;0;1;1;1;;;;;;0;1;;0;;;;
